"District Number","District Name","School Number",School Name," State and Local Funds "," Federal Funds "," State, Local and Federal Funds "," State and Local Funds "," Federal
Funds "," State, Local and Federal Funds "," Total Costs - State, Local and Federal Funds Per Pupil "
01,Alachua,0953,CARING & SHARING LEARNING SCHOOL                                                                    ,"  6,006 ",  -   ,"  6,006 ",  -   ,  -   ,  -   ,"  6,006 "
01,Alachua,0956,EXPRESSIONS LEARNING ARTS ACADEMY                                                                   ,"  5,782 ",  782 ,"  6,564 ",  -   ,  -   ,  -   ,"  6,564 "
01,Alachua,0957,ALACHUA LEARNING ACADEMY ELEMENTARY                                                                 ,"  4,799 ",  -   ,"  4,799 ",  -   ,  -   ,  -   ,"  4,799 "
01,Alachua,0958,GENESIS PREPARATORY SCHOOL                                                                          ,"  6,897 ",  -   ,"  6,897 ",  -   ,  -   ,  -   ,"  6,897 "
01,Alachua,0981,HEALTHY LEARNING ACADEMY CHARTER SCHOOL                                                             ,"  5,651 ",  188 ,"  5,839 ",  -   ,  -   ,  -   ,"  5,839 "
01,Alachua,1012,BOULWARE SPRINGS CHARTER                                                                            ,"  6,909 ",  15 ,"  6,924 ",  -   ,  -   ,  -   ,"  6,924 "
01,Alachua,1010,ONE ROOM MIDDLE SCHOOL                                                                              ,"  6,466 ",  -   ,"  6,466 ",  -   ,  -   ,  -   ,"  6,466 "
01,Alachua,1011,ALACHUA LEARNING ACADEMY MIDDLE                                                                     ,"  5,849 ",  -   ,"  5,849 ",  -   ,  -   ,  -   ,"  5,849 "
01,Alachua,0991,SIATECH GAINESVILLE                                                                                 ,"  6,495 ",  177 ,"  6,672 ",  -   ,  -   ,  -   ,"  6,672 "
01,Alachua,1003,ALACHUA MYCROSCHOOL OF INTEGRATED ACADEMICS AND TECHNOLOGIES (MYCROSCHOOL GAINESVILLE)              ,"  4,748 ",  111 ,"  4,859 ",  -   ,  -   ,  -   ,"  4,859 "
01,Alachua,1013,RESILIENCE CHARTER SCHOOL INC                                                                       ,"  7,345 ","  2,634 ","  9,979 ",  -   ,  -   ,  -   ,"  9,979 "
01,Alachua,0955,"THE EINSTEIN SCHOOL, INC.                                                                           ","  8,538 ",  274 ,"  8,812 ",  -   ,  -   ,  -   ,"  8,812 "
01,Alachua,0961,"MICANOPY MIDDLE SCHOOL, INC.                                                                        ","  2,432 ",  74 ,"  2,506 ",  -   ,  -   ,  -   ,"  2,506 "
02,Baker,0013,MACCLENNY ELEMENTARY SCHOOL                                                                         ,"  7,353 ",  558 ,"  7,911 ",  609 ,  85 ,  694 ,"  8,605 "
02,Baker,0022,PREK/KINDERGARTEN CENTER                                                                            ,"  6,578 ",  660 ,"  7,238 ",  481 ,  67 ,  548 ,"  7,786 "
02,Baker,0031,J FRANKLYN KELLER INTERMEDIATE SCHOOL                                                               ,"  5,271 ",  425 ,"  5,696 ",  481 ,  66 ,  547 ,"  6,243 "
02,Baker,0091,WESTSIDE ELEMENTARY SCHOOL                                                                          ,"  7,284 ",  853 ,"  8,137 ",  770 ,  85 ,  855 ,"  8,992 "
02,Baker,0032,BAKER COUNTY MIDDLE SCHOOL                                                                          ,"  6,134 ",  164 ,"  6,298 ",  562 ,  76 ,  638 ,"  6,936 "
03,Bay,0081,HUTCHISON BEACH ELEMENTARY SCHOOL                                                                   ,"  6,391 ",  413 ,"  6,804 ",  568 ,  133 ,  701 ,"  7,505 "
03,Bay,0091,CEDAR GROVE ELEMENTARY SCHOOL                                                                       ,"  8,658 ","  1,726 ","  10,384 ",  736 ,  192 ,  928 ,"  11,312 "
03,Bay,0101,CALLAWAY ELEMENTARY SCHOOL                                                                          ,"  6,181 ",  823 ,"  7,004 ",  552 ,  114 ,  666 ,"  7,670 "
03,Bay,0111,MERRIAM CHERRY STREET ELEMENTARY                                                                    ,"  8,078 ",  803 ,"  8,881 ",  630 ,  125 ,  755 ,"  9,636 "
03,Bay,0131,LUCILLE MOORE ELEMENTARY SCHOOL                                                                     ,"  8,637 ","  2,017 ","  10,654 ",  731 ,  202 ,  933 ,"  11,587 "
03,Bay,0151,HILAND PARK ELEMENTARY SCHOOL                                                                       ,"  6,668 ",  601 ,"  7,269 ",  608 ,  134 ,  742 ,"  8,011 "
03,Bay,0171,LYNN HAVEN ELEMENTARY SCHOOL                                                                        ,"  7,262 ",  220 ,"  7,482 ",  640 ,  74 ,  714 ,"  8,196 "
03,Bay,0191,OAKLAND TERRACE SCHOOL FOR THE VISUAL AND PERFORMING ARTS                                           ,"  8,989 ","  1,236 ","  10,225 ",  789 ,  198 ,  987 ,"  11,212 "
03,Bay,0211,PARKER ELEMENTARY SCHOOL                                                                            ,"  6,931 ",  964 ,"  7,895 ",  645 ,  147 ,  792 ,"  8,687 "
03,Bay,0221,SOUTHPORT ELEMENTARY SCHOOL                                                                         ,"  7,477 ",  462 ,"  7,939 ",  624 ,  134 ,  758 ,"  8,697 "
03,Bay,0231,SPRINGFIELD ELEMENTARY SCHOOL                                                                       ,"  9,626 ","  2,447 ","  12,073 ",  765 ,  205 ,  970 ,"  13,043 "
03,Bay,0241,ST. ANDREW SCHOOL                                                                                   ,"  24,553 ","  1,836 ","  26,389 ","  1,755 ",  653 ,"  2,408 ","  28,797 "
03,Bay,0251,WALLER ELEMENTARY SCHOOL                                                                            ,"  6,763 ",  927 ,"  7,690 ",  612 ,  132 ,  744 ,"  8,434 "
03,Bay,0262,WEST BAY ELEMENTARY SCHOOL                                                                          ,"  7,508 ",  668 ,"  8,176 ",  642 ,  139 ,  781 ,"  8,957 "
03,Bay,0291,OSCAR PATTERSON ELEMENTARY MAGNET                                                                   ,"  9,298 ","  1,700 ","  10,998 ",  818 ,  186 ,"  1,004 ","  12,002 "
03,Bay,0461,DEER POINT ELEMENTARY SCHOOL                                                                        ,"  7,122 ",  465 ,"  7,587 ",  665 ,  88 ,  753 ,"  8,340 "
03,Bay,0471,NORTHSIDE ELEMENTARY SCHOOL                                                                         ,"  6,437 ",  596 ,"  7,033 ",  631 ,  138 ,  769 ,"  7,802 "
03,Bay,0501,TYNDALL ELEMENTARY SCHOOL                                                                           ,"  6,018 ",  111 ,"  6,129 ",  600 ,  62 ,  662 ,"  6,791 "
03,Bay,0511,TOMMY SMITH ELEMENTARY SCHOOL                                                                       ,"  7,011 ",  375 ,"  7,386 ",  604 ,  128 ,  732 ,"  8,118 "
03,Bay,0521,PATRONIS ELEMENTARY SCHOOL                                                                          ,"  6,444 ",  169 ,"  6,613 ",  623 ,  70 ,  693 ,"  7,306 "
03,Bay,0071,MERRITT BROWN MIDDLE SCHOOL                                                                         ,"  6,379 ",  336 ,"  6,715 ",  543 ,  112 ,  655 ,"  7,370 "
03,Bay,0141,EVERITT MIDDLE SCHOOL                                                                               ,"  6,481 ",  749 ,"  7,230 ",  577 ,  122 ,  699 ,"  7,929 "
03,Bay,0161,JINKS MIDDLE SCHOOL                                                                                 ,"  7,427 ",  585 ,"  8,012 ",  673 ,  142 ,  815 ,"  8,827 "
03,Bay,0201,SURFSIDE MIDDLE SCHOOL                                                                              ,"  6,515 ",  123 ,"  6,638 ",  521 ,  54 ,  575 ,"  7,213 "
03,Bay,0331,MOWAT MIDDLE SCHOOL                                                                                 ,"  5,346 ",  121 ,"  5,467 ",  480 ,  36 ,  516 ,"  5,983 "
03,Bay,0591,C C WASHINGTON ACADEMY                                                                              ,"  14,661 ",  865 ,"  15,526 ",  911 ,  186 ,"  1,097 ","  16,623 "
03,Bay,0604,PANAMA CITY MARINE INSTITUTE                                                                        ,"  6,672 ",  -   ,"  6,672 ",  63 ,  -   ,  63 ,"  6,735 "
03,Bay,7004,BAY VIRTUAL FRANCHISE                                                                               ,"  4,601 ",  -   ,"  4,601 ",  141 ,  -   ,  141 ,"  4,742 "
03,Bay,7006,BAY VIRTUAL INSTRUCTION (COURSE OFFERINGS)                                                          ,"  3,356 ",  -   ,"  3,356 ",  187 ,  -   ,  187 ,"  3,543 "
03,Bay,0061,BAY HIGH SCHOOL                                                                                     ,"  6,338 ",  346 ,"  6,684 ",  463 ,  107 ,  570 ,"  7,254 "
03,Bay,0341,RUTHERFORD HIGH SCHOOL                                                                              ,"  6,433 ",  224 ,"  6,657 ",  446 ,  97 ,  543 ,"  7,200 "
03,Bay,0491,A. CRAWFORD MOSLEY HIGH SCHOOL                                                                      ,"  5,194 ",  129 ,"  5,323 ",  426 ,  41 ,  467 ,"  5,790 "
03,Bay,0531,NEW HORIZONS LEARNING CENTER                                                                        ,"  23,935 ","  3,234 ","  27,169 ","  1,857 ",  700 ,"  2,557 ","  29,726 "
03,Bay,0551,J.R. ARNOLD HIGH SCHOOL                                                                             ,"  5,527 ",  173 ,"  5,700 ",  484 ,  58 ,  542 ,"  6,242 "
03,Bay,0581,ROSENWALD HIGH SCHOOL                                                                               ,"  19,525 ","  1,549 ","  21,074 ",  847 ,  187 ,"  1,034 ","  22,108 "
03,Bay,0281,MARGARET K. LEWIS IN MILLVILLE                                                                      ,"  25,681 ","  2,596 ","  28,277 ","  1,603 ",  603 ,"  2,206 ","  30,483 "
03,Bay,0541,DEANE BOZEMAN SCHOOL                                                                                ,"  6,761 ",  506 ,"  7,267 ",  594 ,  139 ,  733 ,"  8,000 "
03,Bay,0571,BREAKFAST POINT ACADEMY                                                                             ,"  6,674 ",  355 ,"  7,029 ",  645 ,  79 ,  724 ,"  7,753 "
03,Bay,0701,BAY HAVEN CHARTER ACADEMY                                                                           ,"  6,025 ",  26 ,"  6,051 ",  -   ,  -   ,  -   ,"  6,051 "
03,Bay,0751,NORTH BAY HAVEN CHARTER ACADEMY ELEMENTARY SCHOOL                                                   ,"  6,269 ",  26 ,"  6,295 ",  -   ,  -   ,  -   ,"  6,295 "
03,Bay,0801,PALM BAY ELEMENTARY SCHOOL                                                                          ,"  7,428 ","  1,094 ","  8,522 ",  -   ,  -   ,  -   ,"  8,522 "
03,Bay,0711,BAY HAVEN CHARTER MIDDLE SCHOOL                                                                     ,"  5,581 ",  29 ,"  5,610 ",  -   ,  -   ,  -   ,"  5,610 "
03,Bay,0731,NORTH BAY HAVEN CHARTER ACADEMY MIDDLE SCHOOL                                                       ,"  5,265 ",  28 ,"  5,293 ",  -   ,  -   ,  -   ,"  5,293 "
03,Bay,0741,NORTH BAY HAVEN CAREER ACADEMY                                                                      ,"  5,333 ",  27 ,"  5,360 ",  -   ,  -   ,  -   ,"  5,360 "
03,Bay,0771,PALM BAY PREPARATORY ACADEMY 6-12                                                                   ,"  6,255 ",  -   ,"  6,255 ",  -   ,  -   ,  -   ,"  6,255 "
03,Bay,0782,CENTRAL HIGH SCHOOL                                                                                 ,"  5,440 ","  1,063 ","  6,503 ",  -   ,  -   ,  -   ,"  6,503 "
03,Bay,2701,RISING LEADERS ACADEMY                                                                              ,"  7,290 ",  -   ,"  7,290 ",  -   ,  -   ,  -   ,"  7,290 "
03,Bay,2711,UNIVERSITY ACADEMY SABL INC                                                                         ,"  6,878 ",  24 ,"  6,902 ",  -   ,  -   ,  -   ,"  6,902 "
04,Bradford,0051,STARKE ELEMENTARY SCHOOL                                                                            ,"  7,400 ",  942 ,"  8,342 ",  696 ,  75 ,  771 ,"  9,113 "
04,Bradford,0081,SOUTHSIDE ELEMENTARY SCHOOL                                                                         ,"  6,242 ","  1,372 ","  7,614 ",  683 ,  68 ,  751 ,"  8,365 "
04,Bradford,0131,LAWTEY ELEMENTARY SCHOOL                                                                            ,"  8,073 ","  1,369 ","  9,442 ",  892 ,  93 ,  985 ,"  10,427 "
04,Bradford,0161,BROOKER ELEMENTARY SCHOOL                                                                           ,"  8,272 ","  1,164 ","  9,436 ",  804 ,  68 ,  872 ,"  10,308 "
04,Bradford,0181,HAMPTON ELEMENTARY SCHOOL                                                                           ,"  6,695 ","  1,065 ","  7,760 ",  712 ,  73 ,  785 ,"  8,545 "
04,Bradford,0172,BRADFORD MIDDLE SCHOOL                                                                              ,"  5,791 ",  314 ,"  6,105 ",  541 ,  27 ,  568 ,"  6,673 "
04,Bradford,0021,BRADFORD HIGH SCHOOL                                                                                ,"  6,899 ",  567 ,"  7,466 ",  521 ,  57 ,  578 ,"  8,044 "
05,Brevard,0051,OAK PARK ELEMENTARY SCHOOL                                                                          ,"  7,612 ",  896 ,"  8,508 ",  239 ,  401 ,  640 ,"  9,148 "
05,Brevard,0061,APOLLO ELEMENTARY SCHOOL                                                                            ,"  6,473 ",  636 ,"  7,109 ",  220 ,  321 ,  541 ,"  7,650 "
05,Brevard,0091,COQUINA ELEMENTARY SCHOOL                                                                           ,"  6,777 ","  1,197 ","  7,974 ",  233 ,  599 ,  832 ,"  8,806 "
05,Brevard,0101,MIMS ELEMENTARY SCHOOL                                                                              ,"  8,586 ","  1,169 ","  9,755 ",  243 ,  595 ,  838 ,"  10,593 "
05,Brevard,0151,IMPERIAL ESTATES ELEMENTARY SCHOOL                                                                  ,"  6,954 ",  702 ,"  7,656 ",  218 ,  322 ,  540 ,"  8,196 "
05,Brevard,0181,PINEWOOD ELEMENTARY SCHOOL                                                                          ,"  7,226 ",  675 ,"  7,901 ",  227 ,  294 ,  521 ,"  8,422 "
05,Brevard,0191,CHALLENGER 7 ELEMENTARY SCHOOL                                                                      ,"  7,087 ",  733 ,"  7,820 ",  204 ,  290 ,  494 ,"  8,314 "
05,Brevard,0201,ATLANTIS ELEMENTARY SCHOOL                                                                          ,"  7,541 ",  158 ,"  7,699 ",  225 ,  256 ,  481 ,"  8,180 "
05,Brevard,0301,ENTERPRISE ELEMENTARY SCHOOL                                                                        ,"  7,746 ",  201 ,"  7,947 ",  215 ,  387 ,  602 ,"  8,549 "
05,Brevard,1041,CAMBRIDGE ELEMENTARY MAGNET SCHOOL                                                                  ,"  6,843 ",  883 ,"  7,726 ",  247 ,  594 ,  841 ,"  8,567 "
05,Brevard,1051,ENDEAVOUR ELEMENTARY SCHOOL                                                                         ,"  7,756 ","  1,213 ","  8,969 ",  243 ,  545 ,  788 ,"  9,757 "
05,Brevard,1071,GOLFVIEW ELEMENTARY MAGNET SCHOOL                                                                   ,"  7,527 ","  1,255 ","  8,782 ",  248 ,  399 ,  647 ,"  9,429 "
05,Brevard,1091,FAIRGLEN ELEMENTARY SCHOOL                                                                          ,"  7,243 ",  964 ,"  8,207 ",  240 ,  350 ,  590 ,"  8,797 "
05,Brevard,1131,SATURN ELEMENTARY SCHOOL                                                                            ,"  6,859 ",  917 ,"  7,776 ",  229 ,  594 ,  823 ,"  8,599 "
05,Brevard,1141,HANS CHRISTIAN ANDERSEN ELEMENTARY SCHOOL                                                           ,"  6,663 ",  102 ,"  6,765 ",  215 ,  214 ,  429 ,"  7,194 "
05,Brevard,1151,RALPH M WILLIAMS JUNIOR ELEMENTARY SCHOOL                                                           ,"  8,272 ",  404 ,"  8,676 ",  254 ,  309 ,  563 ,"  9,239 "
05,Brevard,1161,MANATEE ELEMENTARY SCHOOL                                                                           ,"  6,129 ",  86 ,"  6,215 ",  200 ,  161 ,  361 ,"  6,576 "
05,Brevard,2031,MEADOWLANE INTERMEDIATE ELEMENTARY SCHOOL                                                           ,"  6,524 ",  149 ,"  6,673 ",  197 ,  197 ,  394 ,"  7,067 "
05,Brevard,2041,MEADOWLANE PRIMARY ELEMENTARY SCHOOL                                                                ,"  7,572 ",  242 ,"  7,814 ",  235 ,  216 ,  451 ,"  8,265 "
05,Brevard,2042,W. MELBOURNE ELEMENTARY SCHOOL FOR SCIENCE                                                          ,"  6,750 ",  98 ,"  6,848 ",  211 ,  177 ,  388 ,"  7,236 "
05,Brevard,2051,UNIVERSITY PARK ELEMENTARY SCHOOL                                                                   ,"  9,915 ","  1,176 ","  11,091 ",  291 ,  709 ,"  1,000 ","  12,091 "
05,Brevard,2061,PORT MALABAR ELEMENTARY SCHOOL                                                                      ,"  6,910 ",  785 ,"  7,695 ",  230 ,  518 ,  748 ,"  8,443 "
05,Brevard,2081,PALM BAY ELEMENTARY SCHOOL                                                                          ,"  8,663 ","  1,192 ","  9,855 ",  253 ,  629 ,  882 ,"  10,737 "
05,Brevard,2111,LOCKMAR ELEMENTARY SCHOOL                                                                           ,"  7,514 ",  425 ,"  7,939 ",  232 ,  265 ,  497 ,"  8,436 "
05,Brevard,2121,"JOHN F. TURNER, SENIOR ELEMENTARY  SCHOOL                                                           ","  7,881 ",  929 ,"  8,810 ",  249 ,  398 ,  647 ,"  9,457 "
05,Brevard,2131,COLUMBIA ELEMENTARY SCHOOL                                                                          ,"  7,422 ",  737 ,"  8,159 ",  235 ,  366 ,  601 ,"  8,760 "
05,Brevard,2151,DISCOVERY ELEMENTARY SCHOOL                                                                         ,"  8,062 ",  801 ,"  8,863 ",  258 ,  646 ,  904 ,"  9,767 "
05,Brevard,2161,CHRISTA MCAULIFFE ELEMENTARY SCHOOL                                                                 ,"  6,911 ",  718 ,"  7,629 ",  223 ,  352 ,  575 ,"  8,204 "
05,Brevard,2171,RIVIERA ELEMENTARY SCHOOL                                                                           ,"  7,298 ",  614 ,"  7,912 ",  241 ,  368 ,  609 ,"  8,521 "
05,Brevard,2191,JUPITER ELEMENTARY SCHOOL                                                                           ,"  7,107 ",  786 ,"  7,893 ",  233 ,  582 ,  815 ,"  8,708 "
05,Brevard,2212,WESTSIDE ELEMENTARY SCHOOL                                                                          ,"  6,501 ",  616 ,"  7,117 ",  217 ,  305 ,  522 ,"  7,639 "
05,Brevard,2221,SUNRISE ELEMENTARY SCHOOL                                                                           ,"  7,051 ",  615 ,"  7,666 ",  233 ,  375 ,  608 ,"  8,274 "
05,Brevard,3041,SHERWOOD ELEMENTARY SCHOOL                                                                          ,"  8,582 ",  159 ,"  8,741 ",  244 ,  520 ,  764 ,"  9,505 "
05,Brevard,3061,HARBOR CITY ELEMENTARY SCHOOL                                                                       ,"  9,100 ",  815 ,"  9,915 ",  272 ,  428 ,  700 ,"  10,615 "
05,Brevard,3071,SABAL ELEMENTARY SCHOOL                                                                             ,"  7,477 ",  800 ,"  8,277 ",  241 ,  393 ,  634 ,"  8,911 "
05,Brevard,3091,CROTON ELEMENTARY SCHOOL                                                                            ,"  7,065 ",  714 ,"  7,779 ",  240 ,  344 ,  584 ,"  8,363 "
05,Brevard,3101,ROY ALLEN ELEMENTARY SCHOOL                                                                         ,"  6,972 ",  572 ,"  7,544 ",  226 ,  328 ,  554 ,"  8,098 "
05,Brevard,3121,SUNTREE ELEMENTARY SCHOOL                                                                           ,"  7,101 ",  249 ,"  7,350 ",  212 ,  239 ,  451 ,"  7,801 "
05,Brevard,3131,LONGLEAF ELEMENTARY SCHOOL                                                                          ,"  7,920 ",  203 ,"  8,123 ",  232 ,  245 ,  477 ,"  8,600 "
05,Brevard,3151,QUEST ELEMENTARY SCHOOL                                                                             ,"  6,164 ",  107 ,"  6,271 ",  202 ,  191 ,  393 ,"  6,664 "
05,Brevard,4031,MILA ELEMENTARY SCHOOL                                                                              ,"  9,001 ","  1,000 ","  10,001 ",  276 ,  444 ,  720 ,"  10,721 "
05,Brevard,4041,TROPICAL ELEMENTARY SCHOOL                                                                          ,"  6,683 ",  150 ,"  6,833 ",  214 ,  216 ,  430 ,"  7,263 "
05,Brevard,4051,AUDUBON ELEMENTARY SCHOOL                                                                           ,"  7,873 ",  402 ,"  8,275 ",  234 ,  259 ,  493 ,"  8,768 "
05,Brevard,4071,ROBERT L. STEVENSON ELEMENTARY SCHOOL                                                               ,"  6,173 ",  101 ,"  6,274 ",  199 ,  127 ,  326 ,"  6,600 "
05,Brevard,4121,LEWIS CARROLL ELEMENTARY SCHOOL                                                                     ,"  7,186 ",  175 ,"  7,361 ",  217 ,  226 ,  443 ,"  7,804 "
05,Brevard,5012,THEODORE ROOSEVELT ELEMENTARY  SCHOOL                                                               ,"  8,288 ",  204 ,"  8,492 ",  230 ,  215 ,  445 ,"  8,937 "
05,Brevard,5021,FREEDOM 7 ELEMENTARY SCHOOL OF INTERNATIONAL STUDIES                                                ,"  6,895 ",  93 ,"  6,988 ",  220 ,  225 ,  445 ,"  7,433 "
05,Brevard,5031,CAPE VIEW ELEMENTARY SCHOOL                                                                         ,"  8,599 ",  818 ,"  9,417 ",  259 ,  389 ,  648 ,"  10,065 "
05,Brevard,6013,SPESSARD L. HOLLAND ELEMENTARY SCHOOL                                                               ,"  7,728 ",  153 ,"  7,881 ",  223 ,  270 ,  493 ,"  8,374 "
05,Brevard,6051,SEA PARK ELEMENTARY SCHOOL                                                                          ,"  8,829 ",  233 ,"  9,062 ",  256 ,  288 ,  544 ,"  9,606 "
05,Brevard,6061,SURFSIDE ELEMENTARY SCHOOL                                                                          ,"  7,116 ",  136 ,"  7,252 ",  208 ,  170 ,  378 ,"  7,630 "
